2018/09/04/01:58:17 | F5 W 2049.48 14890.51 22579.62 1849.42 24914.67 29651.17
2018/09/04/01:58:17 | F5 T 27.00 26.81
2018/09/04/01:58:17 | F5 D 
2018/09/04/01:58:20 | F4 V 4.08 0.00
2018/09/04/01:58:20 | F4 W 1387.76 27110.14 3400003.30 3694.78 22929.26 23874.18
2018/09/04/01:58:20 | F4 T 26.63 26.69
2018/09/04/01:58:20 | F4 D 
2018/09/04/02:08:13 | FB V 4.08 0.00
2018/09/04/02:08:13 | FG V 4.10 0.00
2018/09/04/02:08:13 | FB W 17328.63 36220.09 35265.48 20507.01 14710.14 32923.25
2018/09/04/02:08:14 | FB T -127.00 -127.00
2018/09/04/02:08:14 | FB D
2018/09/04/02:08:14 | FG W 3994.55 36500.00 29095.67 1537.60 14750.03 23431.37
2018/09/04/02:08:14 | FG T 25.63 26.44
2018/09/04/02:08:14 | FG D
2018/09/04/02:08:15 | F1 V 4.09 0.00
2018/09/04/02:08:15 | F1 W 4698.30 24290.59 29195.40 1345.66 23250.35 330999.47
2018/09/04/02:08:15 | F1 T 26.69 24.94
2018/09/04/02:08:15 | F1 D 
2018/09/04/02:08:15 | F6 V 4.10 0.00
2018/09/04/02:08:15 | F6 W 2511.22 2681.82 24677.96 1481.49 19538.07 27749.07
2018/09/04/02:08:15 | F6 T 26.19 85.00
2018/09/04/02:08:15 | F6 D 
2018/09/04/02:08:15 | F3 V 4.09 0.00
2018/09/04/02:08:15 | F3 W 1895.36 8095.53 29195.40 12784.04 20386.20 32331.19
2018/09/04/02:08:15 | F3 T 26.63 27.56
2018/09/04/02:08:15 | F3 D 
2018/09/04/02:08:16 | F0 V 4.10 0.00
2018/09/04/02:08:16 | F0 W 6385.49 6724.80 1731.66 9217.34 290882.63 34285.71
2018/09/04/02:08:16 | F0 T 26.56 27.50
2018/09/04/02:08:16 | F0 D D5 7.78 0.09 27.3
2018/09/04/02:08:17 | F5 V 4.08 0.00
2018/09/04/02:08:17 | F5 W 2035.31 14910.75 22614.31 1863.17 24994.39 29702.59
2018/09/04/02:08:17 | F5 T 27.00 26.81
2018/09/04/02:08:17 | F5 D 
2018/09/04/02:08:20 | F4 V 4.08 0.00
2018/09/04/02:08:20 | F4 W 1430.17 25520.83 3400003.30 3694.78 22964.63 23949.20
2018/09/04/02:08:20 | F4 T 26.56 26.69
2018/09/04/02:08:20 | F4 D 
2018/09/04/02:18:13 | FG V 4.09 0.00
2018/09/04/02:18:14 | FG W 3994.55 36429.86 29045.80 1533.27 14730.09 23431.37
2018/09/04/02:18:14 | FG T 25.63 26.44
2018/09/04/02:18:14 | FG D
2018/09/04/02:18:14 | FB V 4.08 0.00
2018/09/04/02:18:15 | F6 V 4.10 0.00
2018/09/04/02:18:15 | F6 W 2495.93 2692.32 24677.96 1472.92 19566.47 27702.81
2018/09/04/02:18:15 | F6 T 26.13 85.00
2018/09/04/02:18:15 | F6 D 
2018/09/04/02:18:15 | F1 V 4.09 0.00
2018/09/04/02:18:15 | F1 W 4698.30 24252.31 29045.80 1316.38 23286.41 330999.47
2018/09/04/02:18:15 | F1 T 26.63 24.81
2018/09/04/02:18:15 | F1 D 
2018/09/04/02:18:15 | FB W 17328.63 36289.59 35265.48 20567.79 14769.98 32923.25
2018/09/04/02:18:15 | FB T -127.00 -127.00
2018/09/04/02:18:15 | FB D
2018/09/04/02:18:15 | F3 V 4.09 0.00
2018/09/04/02:18:15 | F3 W 1131.67 7947.37 28750.01 12417.85 20176.99 32098.77
2018/09/04/02:18:15 | F3 T 26.63 27.56
2018/09/04/02:18:15 | F3 D 
2018/09/04/02:18:16 | F0 V 4.10 0.00
2018/09/04/02:18:16 | F0 W 6394.26 6724.80 1727.17 9229.32 290882.63 34285.71
2018/09/04/02:18:16 | F0 T 26.50 27.44
2018/09/04/02:18:16 | F0 D D5 7.77 0.09 27.3
2018/09/04/02:18:17 | F5 V 4.08 0.00
2018/09/04/02:18:17 | F5 W 2016.47 14910.75 22614.31 1849.42 24914.67 29702.59
2018/09/04/02:18:17 | F5 T 27.00 26.75
2018/09/04/02:18:17 | F5 D 
2018/09/04/02:18:20 | F4 V 4.08 0.00
2018/09/04/02:18:20 | F4 W 1434.43 25479.86 3400003.30 3688.68 22964.63 23949.20
2018/09/04/02:18:20 | F4 T 26.56 26.69
2018/09/04/02:18:20 | F4 D 
2018/09/04/02:28:13 | FB V 4.08 0.00
2018/09/04/02:28:13 | FG V 4.09 0.00
2018/09/04/02:28:13 | FB W 17304.31 36289.59 35265.48 20537.31 14769.98 32983.19
2018/09/04/02:28:13 | FB T -127.00 -127.00
2018/09/04/02:28:13 | FB D
2018/09/04/02:28:14 | FG W 3994.55 36500.00 29045.80 1537.61 14769.98 23431.37
2018/09/04/02:28:14 | FG T 25.56 26.38
2018/09/04/02:28:14 | FG D
2018/09/04/02:28:15 | F6 V 4.10 0.00
2018/09/04/02:28:15 | F6 W 2480.69 2692.32 24677.96 1481.49 19566.47 27749.07
2018/09/04/02:28:15 | F6 T 26.13 85.00
2018/09/04/02:28:15 | F6 D 
